description;icao;iata;latitude_deg;longitude_deg
[Duplicate] Cattle Creek Airport;AU-CTR;CTR;-17.607.000.351;131.548.995.972
Diamantina Lakes Airport;AU-DYM;DYM;-23.761.699.676.513.600;14.114.500.427.246.000
[Duplicate] Heathlands Airport;AU-HAT;HAT;-117.369.003.296;14.257.699.585
[Duplicate] Highbury Airport;AU-HIG;HIG;-164.244.003.296;143.145.996.094
Hayman Island Resort Seaplane Base;AU-HIS;HIS;-20.059.999.465.942.300;14.888.099.670.410.100
Helenvale Airport;AU-HLV;HLV;-15.685.799.598.693.800;14.521.499.633.789.000
Kimberley Downs Airport;AU-KBD;KBD;-1.739.780.044.555.660;1.243.550.033.569.330
Kulgera Airport;AU-KGR;KGR;-2.584.280.014.038.080;13.329.200.744.628.900
[Duplicate] Koolatah Airport;AU-KOH;KOH;-15.888.600.349.399.900;142.438.995.361
[Duplicate] Yeelirrie Airport;AU-KYF;KYF;-272.768.993.378;120.096.000.671
[Duplicate] Macdonald Downs Airport;AU-MNW;MNW;-22.444.000.244.099.900;135.199.005.127
[Duplicate] Mulga Park Airport;AU-MUP;MUP;-25.860.000.610.399.900;131.649.993.896
Miranda Downs Airport;AU-MWY;MWY;-17.328.899;141.886.002
Camballin Airport;AU-MYO;MYO;-1.812.470.054.626.460;12.427.200.317.382.800
[Duplicate] Noonkanbah Airport;AU-NKB;NKB;-184.946.994.781;124.851.997.375
Orchid Beach Airport;AU-OKB;OKB;-24.959.400.177.002;15.331.500.244.141
Peppimenarti Airport;AU-PEP;PEP;-14.144.200.325;130.091.003.418
Rockhampton Downs Airport;AU-RDA;RDA;-1.895.330.047.607.420;1.352.010.040.283.200
Sturt Creek Airport;AU-SSK;SSK;-19.166.400.909.423.800;1.281.739.959.716.790
Shaw River Airport;AU-SWB;SWB;-21.510.299.682.617.100;11.936.199.951.171.800
Tom Price Airport;AU-TPR;TPR;-22.746.000.289.900.000;117.869.003.296
Torwood Airport;AU-TWP;TWP;-17.363.300.323.486.300;143.75
[Duplicate] Warrawagine Airport;AU-WRW;WRW;-208.442.001.343;120.702.003.479
[Duplicate] Whitsunday Airstrip;AU-WSY;WSY;-2.027.611;148.755
Springvale Airport;AU-ZVG;ZVG;-1.778.689.956.665.030;12.766.999.816.894.500
Aua Island Airport;AUI;AUI;-146.055.555.556;143.064.722.222
Ambunti Airport;AUJ;AUJ;-421.566.666.667;142.823.166.667
Agaun Airport;AUP;AUP;-9.930.833;149.385.667
Austin Robert Mueller Municipal;AUS;AUS;302.987.223.546;-976.997.852.325
Aumo Airport;AUV;AUV;-5.731.111.111.110.000;148.445.277.778
Alowe Airport;AWE;AWE;-0.545;9.444
Awar Airport;AWR;AWR;-4.124;144.853
Alxa Left Banner-Bayanhot Airport;AXF;AXF;388.241;105.626
Kompiam Airport;AYAQ;KPM;-538.166.666.667;143.924.722.222
Buka Airport;AYBK;BUA;-54.223.198.890.686.000;15.467.300.415.039.000
Biaru Airport;AYBR;BRP;-76.693;1.467.594
Chimbu Airport;AYCH;CMU;-6.024.290.084.838.860;1.449.709.930.419.920
Munduku Airport;AYDK;MDM;-46.204;1.434.516
Kondobol Airport;AYDL;KPF;-85.336;1.425.049
Dinangat Airport;AYDN;DNU;-61.546;1.466.772
Doini Airport;AYDO;DOI;-107.009;1.507.218
Daru Airport;AYDU;DAU;-908.675.956.726;143.207.992.554
Embessa Airport;AYEB;EMS;-9.447;1.487.628
Edwaki Airport;AYED;XYR;-3.883.986;141.792.234
Eliptamin Airport;AYEL;EPT;-50.412;1.416.779
Engati Airstrip;AYEN;EGA;-69.179;1.461.053
Emo River Airstrip;AYEO;EMO;-91.234;1.480.415
Erume Airport;AYER;ERU;-82.538;1.469.747
Meselia Airport;AYES;MFZ;-61.364;1.491.183
Feramin Airport;AYFE;FRQ;-5.208;1.416.988
Frieda River Airport;AYFR;FAQ;-4.610.468;141.960.138
Fuma Airport;AYFU;FUM;-63.933;1.424.408
Goroka Airport;AYGA;GKA;-6.081.689.834.590.000;145.391.998.291
Guari Airport;AYGF;GUG;-81.286;1.468.722
Garasa Airport;AYGG;GRL;-7.980.713;147.213.461
Gurney Airport;AYGN;GUR;-103.114.995.956;150.333.999.634
Gusap Airport;AYGP;GAP;-6.053.196;145.959.047
Girua Airport;AYGR;PNP;-880.453.968.048;148.309.005.737
Gasuke Airport;AYGS;GBC;-61.028;1.417.393
Habi Airport;AYHB;HBD;-6.32;1.424.893
Heiweni Airport;AYHE;HNI;-74.223;1.464.276
Honinabi Airport;AYHH;HNN;-162.457;1.421.771
Kimbe Airport;AYHK;HKN;-5.462.170.124.053.950;15.040.499.877.929.600
Haivaro Airport;AYHO;HIT;-69.406;143.059
Imane Airport;AYII;IMN;-67.524;1.461.072
Kungim Airport;AYIM;KGM;-5.671;141.03
Imonda Airport;AYIO;IMD;-3.328;1.411.573
Ialibu Airport;AYIU;IAL;-62.782;1.439.944
Witu Airport;AYIX;WIU;-4.689.522;149.440.112
Yongai Airport;AYJO;KGH;-85.289;1.474.603
